DATE,M1109BUSM293NNBR
3/1/1967,858.11
4/1/1967,868.66
5/1/1967,883.74
6/1/1967,872.66
7/1/1967,888.51
8/1/1967,912.46
9/1/1967,923.45
10/1/1967,907.54
11/1/1967,865.43
12/1/1967,887.2
1/1/1968,884.77
2/1/1968,847.2
3/1/1968,834.76
4/1/1968,893.37
5/1/1968,905.22
6/1/1968,906.82
7/1/1968,905.32
8/1/1968,883.72
9/1/1968,922.8
10/1/1968,955.47
11/1/1968,964.12
12/1/1968,965.39
